xflr5 v6.57

Plane name :, kite_1004
Polar name :, T1-0.8 m/s-LLT
Freestream speed :, 0.8 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
  -14.000,     0.000,  -0.454887,   0.018693,   0.130770,   0.149463,   0.000000,  -0.000000,   0.081550,   0.000000,  -0.000000,    0.7500,    0.0187
  -12.000,     0.000,  -0.456979,   0.016302,   0.094712,   0.111014,   0.000000,  -0.000000,   0.061949,  -0.000000,  -0.000000,    0.7500,    0.0138
  -10.000,     0.000,  -0.453907,   0.014045,   0.061141,   0.075186,   0.000000,  -0.000000,   0.045223,  -0.000000,  -0.000000,    0.7500,    0.0098
   -8.000,     0.000,  -0.468664,   0.013025,   0.034205,   0.047230,   0.000000,  -0.000000,   0.046908,  -0.000000,  -0.000000,    0.7500,    0.0103
   -6.000,     0.000,  -0.283075,   0.006463,   0.032997,   0.039461,   0.000000,  -0.000000,  -0.009511,   0.000000,  -0.000000,    0.7500,   -0.0065
   -4.000,     0.000,  -0.135257,   0.003199,   0.039278,   0.042477,   0.000000,  -0.000000,  -0.036805,   0.000000,  -0.000000,    0.7500,    0.1752
   -2.000,     0.000,   0.001045,   0.001965,   0.042286,   0.044251,   0.000000,  -0.000000,  -0.057979,   0.000000,   0.000000,    0.7500,    7.1171
    0.000,     0.000,   0.157936,   0.002677,   0.042315,   0.044993,   0.000000,  -0.000000,  -0.097182,   0.000000,   0.000000,    0.7500,    0.0715
    2.000,     0.000,   0.344437,   0.006252,   0.042455,   0.048707,   0.000000,  -0.000000,  -0.152775,   0.000000,   0.000000,    0.7500,    0.0499
    4.000,     0.000,   0.552844,   0.013894,   0.042778,   0.056672,   0.000000,  -0.000000,  -0.218782,   0.000000,   0.000000,    0.7500,    0.0443
    6.000,     0.000,   0.740697,   0.024631,   0.042966,   0.067597,   0.000000,  -0.000000,  -0.275377,   0.000000,   0.000000,    0.7500,    0.0414
    8.000,     0.000,   0.940048,   0.039275,   0.041698,   0.080973,   0.000000,  -0.000000,  -0.333665,   0.000000,   0.000000,    0.7500,    0.0392
   10.000,     0.000,   1.168061,   0.060061,   0.035259,   0.095320,   0.000000,  -0.000000,  -0.397648,   0.000000,   0.000000,    0.7500,    0.0373
   12.000,     0.000,   1.240669,   0.068440,   0.041822,   0.110261,   0.000000,  -0.000000,  -0.400464,   0.000000,   0.000000,    0.7500,    0.0349
   14.000,     0.000,   1.280705,   0.073527,   0.053404,   0.126931,   0.000000,  -0.000000,  -0.394029,   0.000000,   0.000000,    0.7500,    0.0328


