Alpha,kite_1000_T1-0_8 m_s-LLT, , Alpha,kite_1004_T1-0_8 m_s-LLT, , Alpha,kite_1152_T1-0_8 m_s-LLT, , Alpha,kite_1154_T1-0_8 m_s-LLT, , Alpha,kite_1304_T1-0_8 m_s-LLT, , 
          -14,     -11.26191, ,           -14,     -12.72396, ,           -14,     -11.56662, ,           -14,     -12.25261, ,           -14,     -12.03984, , 
        -13.5,     -11.32043, ,         -13.5,       -12.749, ,         -13.5,      -11.9746, ,           -13,     -13.10868, ,         -13.5,     -11.81572, , 
          -13,     -10.62501, ,           -13,     -12.80064, ,           -13,       -11.532, ,         -12.5,     -13.04705, ,           -13,     -11.79791, , 
        -12.5,     -10.31872, ,         -12.5,     -12.46737, ,           -12,     -13.98851, ,           -12,     -13.05588, ,         -12.5,     -11.45315, , 
          -12,     -10.96068, ,           -12,     -12.78339, ,         -11.5,     -13.54083, ,         -11.5,      -12.6063, ,           -12,     -11.34257, , 
        -11.5,     -11.52497, ,         -11.5,     -12.46115, ,           -11,     -14.93382, ,           -11,     -12.54526, ,         -11.5,     -11.29516, , 
          -11,     -12.51735, ,           -11,     -13.94894, ,         -10.5,     -13.76072, ,         -10.5,     -12.19576, ,         -10.5,     -13.41415, , 
        -10.5,      -12.3832, ,         -10.5,      -13.4348, ,           -10,     -12.66792, ,           -10,        -12.48, ,           -10,     -13.76083, , 
          -10,     -13.63611, ,           -10,     -12.69616, ,          -9.5,     -11.84307, ,          -9.5,     -11.35776, ,          -9.5,     -12.67537, , 
         -9.5,     -12.68987, ,          -9.5,     -14.64301, ,            -9,     -10.71324, ,            -9,     -11.47608, ,            -9,      -11.4758, , 
           -9,     -12.10012, ,            -9,      -13.3941, ,          -8.5,     -12.07188, ,          -8.5,     -12.87427, ,          -8.5,     -10.08603, , 
         -8.5,      -15.5551, ,          -8.5,     -12.27576, ,            -8,       -10.694, ,            -8,     -11.27055, ,            -8,     -8.716083, , 
